question,intent,original_faq_id
สาขาวิศวกรรมเครื่องกล มทร.พระนคร มีประวัติความเป็นมายังไง,about,471
มทร.พระนคร เดิมชื่ออะไร ตั้งแต่เมื่อไหร่,about,472
ตราสัญลักษณ์สาขาวิศวกรรมเครื่องกล มีความหมายอย่างไร,about,473
อาจารย์ใหญ่คนแรกของโรงเรียนช่างกลพระนครเหนือคือใคร,about,474
โรงเรียนช่างกลพระนครเหนือตั้งอยู่ที่ไหน,about,475
โรงเรียนช่างกลพระนครเหนือเริ่มเปิดสอนเมื่อไหร่ มีนักเรียนกี่คน,about,476
ปี พ.ศ. 2520 โรงเรียนช่างกลพระนครเหนือเปลี่ยนชื่อเป็นอะไร,about,477
พระบาทสมเด็จพระเจ้าอยู่หัว ทรงพระราชทานนาม มทร.พระนคร เมื่อไหร่,about,478
สาขาวิศวกรรมเครื่องกล มีการพัฒนาในช่วง 40 ปีที่ผ่านมาอย่างไร,about,481
มาตรฐานผลการเรียนรู้ที่คาดหวัง 5 ด้าน มีอะไรบ้าง?,about,515
ปรัชญาของสาขาวิชาวิศวกรรมโยธา มทร.พระนคร คืออะไร?,about,548
ความสำคัญของสาขาวิศวกรรมโยธาคืออะไร?,about,549
วัตถุประสงค์ของหลักสูตรวิศวกรรมโยธามีอะไรบ้าง?,about,550
บัณฑิตวิศวกรรมโยธา มทร.พระนคร ต้องมีคุณธรรมจริยธรรมอย่างไร?,about,551
วิศวกรโยธาจากมทร.พระนครต้องมีทักษะด้านไหนบ้าง?,about,552
สาขาวิศวกรรมโยธา มทร.พระนคร มุ่งผลิตบัณฑิตแบบไหน?,about,553
ทำไมต้องเรียนวิศวกรรมโยธา?,about,554
วิศวกรโยธาต้องมีความสามารถด้านเทคโนโลยีไหม?,about,555
ทำไมวิศวกรโยธาต้องเรียน Microsoft Excel?,about,577
Microsoft Excel สำคัญกับงานวิศวกรรมโยธาอย่างไร?,about,579
นักศึกษาวิศวกรรมโยธาควรมีทักษะด้าน IT อะไรบ้าง?,about,580
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ มทร.พระนคร มีประวัติความเป็นมาอย่างไร,about,589
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ เปิดสอนเมื่อไหร่,about,591
ปี 2542 สาขาวิศวกรรมเครื่องมือและแม่พิมพ์มีการพัฒนาอย่างไร,about,592
ชื่อเดิมของสาขาวิศวกรรมเครื่องมือและแม่พิมพ์คืออะไร,about,595
สาขาวิศวกรรมเครื่องมือและแม่พิมพ์ มีความร่วมมือกับต่างประเทศไหม,about,596
